0000,0000	Command Group Length	UL	1	
0000,0002	Affected SOP Class UID	UI	1	
0000,0003	Requested SOP Class UID	UI	1	
0000,0100	Command Field	US	1	
0000,0110	Message ID	US	1	
0000,0120	Message ID Being Responded To	US	1	
0000,0600	Move Destination	AE	1	
0000,0700	Priority	US	1	
0000,0800	Command Data Set Type	US	1	
0000,0900	Status	US	1	
0000,0901	Offending Element	AT	1-n	
0000,0902	Error Comment	LO	1	
0000,0903	Error ID	US	1	
0000,1000	Affected SOP Instance UID	UI	1	
0000,1001	Requested SOP Instance UID	UI	1	
0000,1002	Event Type ID	US	1	
0000,1005	Attribute Identifier List	AT	1-n	
0000,1008	Action Type ID	US	1	
0000,1020	Number of Remaining Sub-operations	US	1	
0000,1021	Number of Completed Sub-operations	US	1	
0000,1022	Number of Failed Sub-operations	US	1	
0000,1023	Number of Warning Sub-operations	US	1	
0000,1030	Move Originator Application Entity Title	AE	1	
0000,1031	Move Originator Message ID	US	1	
0000,0001	Command Length to End	UL	1	R
0000,0010	Command Recognition Code	SH	1	R
0000,0200	Initiator	AE	1	R
0000,0300	Receiver	AE	1	R
0000,0400	Find Location	AE	1	R
0000,0850	Number of Matches	US	1	R
0000,0860	Response Sequence Number	US	1	R
0000,4000	Dialog Receiver	LT	1	R
0000,4010	Terminal Type	LT	1	R
0000,5010	Message Set ID	SH	1	R
0000,5020	End Message ID	SH	1	R
0000,5110	Display Format	LT	1	R
0000,5120	Page Position ID	LT	1	R
0000,5130	Text Format ID	CS	1	R
0000,5140	Normal/Reverse	CS	1	R
0000,5150	Add Gray Scale	CS	1	R
0000,5160	Borders	CS	1	R
0000,5170	Copies	IS	1	R
0000,5180	Command Magnification Type	CS	1	R
0000,5190	Erase	CS	1	R
0000,51A0	Print	CS	1	R
0000,51B0	Overlays	US	1-n	R
0002,0000	File Meta Information Group Length	UL	1	
0002,0001	File Meta Information Version	OB	1	
0002,0002	Media Storage SOP Class UID	UI	1	
0002,0003	Media Storage SOP Instance UID	UI	1	
0002,0010	Transfer Syntax UID	UI	1	
0002,0012	Implementation Class UID	UI	1	
0002,0013	Implementation Version Name	SH	1	
0002,0016	Source Application Entity Title	AE	1	
0002,0100	Private Information Creator UID	UI	1	
0002,0102	Private Information	OB	1	
0004,1130	File-set ID	CS	1	
0004,1141	File-set Descriptor File ID	CS	1-8	
0004,1142	Specific Character Set of File-set Descriptor File	CS	1	
0004,1200	Offset of the First Directory Record of the Root Directory Entity	UL	1	
0004,1202	Offset of the Last Directory Record of the Root Directory Entity	UL	1	
0004,1212	File-set Consistency Flag	US	1	
0004,1220	Directory Record Sequence	SQ	1	
0004,1400	Offset of the Next Directory Record	UL	1	
0004,1410	Record In-use Flag	US	1	
0004,1420	Offset of Referenced Lower-Level Directory Entity	UL	1	
0004,1430	Directory Record Type	CS	1	
0004,1432	Private Record UID	UI	1	
0004,1500	Referenced File ID	CS	1-8	
0004,1504	MRDR Directory Record Offset	UL	1	R
0004,1510	Referenced SOP Class UID in File	UI	1	
0004,1511	Referenced SOP Instance UID in File	UI	1	
0004,1512	Referenced Transfer Syntax UID in File	UI	1	
0004,151A	Referenced Related General SOP Class UID in File	UI	1-n	
0004,1600	Number of References	UL	1	R
0008,0001	Length to End	UL	1	R
0008,0005	Specific Character Set	CS	1-n	
0008,0006	Language Code Sequence	SQ	1	
0008,0008	Image Type	CS	2-n	
0008,0010	Recognition Code	SH	1	R
0008,0012	Instance Creation Date	DA	1	
0008,0013	Instance Creation Time	TM	1	
0008,0014	Instance Creator UID	UI	1	
0008,0016	SOP Class UID	UI	1	
0008,0018	SOP Instance UID	UI	1	
0008,001A	Related General SOP Class UID	UI	1-n	
0008,001B	Original Specialized SOP Class UID	UI	1	
0008,0020	Study Date	DA	1	
0008,0021	Series Date	DA	1	
0008,0022	Acquisition Date	DA	1	
0008,0023	Content Date	DA	1	
0008,0024	Overlay Date	DA	1	R
0008,0025	Curve Date	DA	1	R
0008,002A	Acquisition DateTime	DT	1	
0008,0030	Study Time	TM	1	
0008,0031	Series Time	TM	1	
0008,0032	Acquisition Time	TM	1	
0008,0033	Content Time	TM	1	
0008,0034	Overlay Time	TM	1	R
0008,0035	Curve Time	TM	1	R
0008,0040	Data Set Type	US	1	R
0008,0041	Data Set Subtype	LO	1	R
0008,0042	Nuclear Medicine Series Type	CS	1	R
0008,0050	Accession Number	SH	1	
0008,0051	Issuer of Accession Number Sequence	SQ	1	
0008,0052	Query/Retrieve Level	CS	1	
0008,0054	Retrieve AE Title	AE	1-n	
0008,0056	Instance Availability	CS	1	
0008,0058	Failed SOP Instance UID List	UI	1-n	
0008,0060	Modality	CS	1	
0008,0061	Modalities in Study	CS	1-n	
0008,0062	SOP Classes in Study	UI	1-n	
0008,0064	Conversion Type	CS	1	
0008,0068	Presentation Intent Type	CS	1	
0008,0070	Manufacturer	LO	1	
0008,0080	Institution Name	LO	1	
0008,0081	Institution Address	ST	1	
0008,0082	Institution Code Sequence	SQ	1	
0008,0090	Referring Physician's Name	PN	1	
0008,0092	Referring Physician's Address	ST	1	
0008,0094	Referring Physician's Telephone Numbers	SH	1-n	
0008,0096	Referring Physician Identification Sequence	SQ	1	
0008,0100	Code Value	SH	1	
0008,0102	Coding Scheme Designator	SH	1	
0008,0103	Coding Scheme Version	SH	1	
0008,0104	Code Meaning	LO	1	
0008,0105	Mapping Resource	CS	1	
0008,0106	Context Group Version	DT	1	
0008,0107	Context Group Local Version	DT	1	
0008,010B	Context Group Extension Flag	CS	1	
0008,010C	Coding Scheme UID	UI	1	
0008,010D	Context Group Extension Creator UID	UI	1	
0008,010F	Context Identifier	CS	1	
0008,0110	Coding Scheme Identification Sequence	SQ	1	
0008,0112	Coding Scheme Registry	LO	1	
0008,0114	Coding Scheme External ID	ST	1	
0008,0115	Coding Scheme Name	ST	1	
0008,0116	Coding Scheme Responsible Organization	ST	1	
0008,0117	Context UID	UI	1	
0008,0201	Timezone Offset From UTC	SH	1	
0008,1000	Network ID	AE	1	R
0008,1010	Station Name	SH	1	
0008,1030	Study Description	LO	1	
0008,1032	Procedure Code Sequence	SQ	1	
0008,103E	Series Description	LO	1	
0008,103F	Series Description Code Sequence	SQ	1	
0008,1040	Institutional Department Name	LO	1	
0008,1048	Physician(s) of Record	PN	1-n	
0008,1049	Physician(s) of Record Identification Sequence	SQ	1	
0008,1050	Performing Physician's Name	PN	1-n	
0008,1052	Performing Physician Identification Sequence	SQ	1	
0008,1060	Name of Physician(s) Reading Study	PN	1-n	
0008,1062	Physician(s) Reading Study Identification Sequence	SQ	1	
0008,1070	Operators' Name	PN	1-n	
0008,1072	Operator Identification Sequence	SQ	1	
0008,1080	Admitting Diagnoses Description	LO	1-n	
0008,1084	Admitting Diagnoses Code Sequence	SQ	1	
0008,1090	Manufacturer's Model Name	LO	1	
0008,1100	Referenced Results Sequence	SQ	1	R
0008,1110	Referenced Study Sequence	SQ	1	
0008,1111	Referenced Performed Procedure Step Sequence	SQ	1	
0008,1115	Referenced Series Sequence	SQ	1	
0008,1120	Referenced Patient Sequence	SQ	1	
0008,1125	Referenced Visit Sequence	SQ	1	
0008,1130	Referenced Overlay Sequence	SQ	1	R
0008,1134	Referenced Stereometric Instance Sequence	SQ	1	
0008,113A	Referenced Waveform Sequence	SQ	1	
0008,1140	Referenced Image Sequence	SQ	1	
0008,1145	Referenced Curve Sequence	SQ	1	R
0008,114A	Referenced Instance Sequence	SQ	1	
0008,114B	Referenced Real World Value Mapping Instance Sequence	SQ	1	
0008,1150	Referenced SOP Class UID	UI	1	
0008,1155	Referenced SOP Instance UID	UI	1	
0008,115A	SOP Classes Supported	UI	1-n	
0008,1160	Referenced Frame Number	IS	1-n	
0008,1161	Simple Frame List	UL	1-n	
0008,1162	Calculated Frame List	UL	3-3n	
0008,1163	Time Range	FD	2	
0008,1164	Frame Extraction Sequence	SQ	1	
0008,1167	Multi-Frame Source SOP Instance UID	UI	1	
0008,1195	Transaction UID	UI	1	
0008,1197	Failure Reason	US	1	
0008,1198	Failed SOP Sequence	SQ	1	
0008,1199	Referenced SOP Sequence	SQ	1	
0008,1200	Studies Containing Other Referenced Instances Sequence	SQ	1	
0008,1250	Related Series Sequence	SQ	1	
0008,2110	Lossy Image Compression (Retired)	CS	1	R
0008,2111	Derivation Description	ST	1	
0008,2112	Source Image Sequence	SQ	1	
0008,2120	Stage Name	SH	1	
0008,2122	Stage Number	IS	1	
0008,2124	Number of Stages	IS	1	
0008,2127	View Name	SH	1	
0008,2128	View Number	IS	1	
0008,2129	Number of Event Timers	IS	1	
0008,212A	Number of Views in Stage	IS	1	
0008,2130	Event Elapsed Time(s)	DS	1-n	
0008,2132	Event Timer Name(s)	LO	1-n	
0008,2133	Event Timer Sequence	SQ	1	
0008,2134	Event Time Offset	FD	1	
0008,2135	Event Code Sequence	SQ	1	
0008,2142	Start Trim	IS	1	
0008,2143	Stop Trim	IS	1	
0008,2144	Recommended Display Frame Rate	IS	1	
0008,2200	Transducer Position	CS	1	R
0008,2204	Transducer Orientation	CS	1	R
0008,2208	Anatomic Structure	CS	1	R
0008,2218	Anatomic Region Sequence	SQ	1	
0008,2220	Anatomic Region Modifier Sequence	SQ	1	
0008,2228	Primary Anatomic Structure Sequence	SQ	1	
